Organization,PatentSupport,OpenSourceSupport
Amazon,1,4
Apple,3,2
Cisco,2,2
Facebook,1,5
Google,1,5
Huawei,4,4
IBM,4,5
Intel,4,3
Microsoft,5,3
Oracle,4,4
Qualcomm,5,5
Samsung,2,1
Amazon,2,1
Apple,5,1
Cisco,4,1
Facebook,3,3
Google,3,4
Huawei,3,2
IBM,4,4
Intel,5,1
Microsoft,5,4
Oracle,5,1
Qualcomm,5,2
Samsung,4,3
Amazon,2,3
Apple,5,4
Cisco,3,4
Facebook,2,3
Google,1,3
Huawei,2,3
IBM,4,4
Intel,4,4
Microsoft,4,4
Oracle,4,3
Qualcomm,5,2
Samsung,2,3
Amazon,3,4
Apple,5,2
Cisco,4,4
Facebook,2,3
Google,4,5
Huawei,2,4
IBM,4,5
Intel,4,2
Microsoft,3,3
Oracle,4,3
Qualcomm,5,2
Samsung,5,2
Amazon,5,5
Apple,5,5
Cisco,5,5
Facebook,5,5
Google,5,5
Huawei,5,5
IBM,5,5
Intel,5,5
Microsoft,5,5
Oracle,5,5
Qualcomm,5,5
Samsung,5,5
Amazon,3,3
Apple,3,3
Cisco,3,3
Facebook,3,3
Google,3,3
Huawei,3,3
IBM,3,3
Intel,3,3
Microsoft,3,3
Oracle,3,3
Qualcomm,3,3
Samsung,3,3
Amazon,4,4
Apple,4,2
Cisco,4,4
Facebook,2,4
Google,2,4
Huawei,4,4
IBM,4,3
Intel,4,4
Microsoft,4,4
Oracle,4,3
Qualcomm,5,2
Samsung,5,4
Amazon,3,3
Apple,5,1
Cisco,4,2
Facebook,3,4
Google,2,4
Huawei,3,3
IBM,5,3
Intel,5,3
Microsoft,4,3
Oracle,4,2
Qualcomm,5,1
Samsung,4,3
Amazon,2,4
Apple,3,2
Cisco,4,4
Facebook,3,4
Google,3,4
Huawei,3,3
IBM,4,3
Intel,4,3
Microsoft,4,4
Oracle,3,4
Qualcomm,5,2
Samsung,3,3
Amazon,5,1
Apple,5,1
Cisco,5,5
Facebook,4,5
Google,5,5
Huawei,4,4
IBM,5,5
Intel,5,4
Microsoft,5,5
Oracle,5,5
Qualcomm,5,3
Samsung,5,1
Amazon,1,4
Apple,4,4
Cisco,4,4
Facebook,1,3
Google,2,4
Huawei,4,2
IBM,4,4
Intel,4,3
Microsoft,5,3
Oracle,3,3
Qualcomm,5,3
Samsung,3,3
Amazon,1,5
Apple,4,2
Cisco,2,4
Facebook,1,5
Google,2,5
Huawei,5,3
IBM,5,4
Intel,2,4
Microsoft,4,4
Oracle,2,2
Qualcomm,5,2
Samsung,3,4
Amazon,2,4
Apple,4,3
Cisco,3,4
Facebook,2,5
Google,2,5
Huawei,5,3
IBM,5,1
Intel,4,2
Microsoft,4,3
Oracle,3,2
Qualcomm,5,1
Samsung,3,3
Amazon,1,5
Apple,2,3
Cisco,2,3
Facebook,1,4
Google,1,5
Huawei,3,3
IBM,5,5
Intel,2,5
Microsoft,4,2
Oracle,1,2
Qualcomm,5,3
Samsung,3,3
Amazon,1,
Apple,4,4
Cisco,3,4
Facebook,1,
Google,1,
Huawei,2,4
IBM,5,5
Intel,5,3
Microsoft,5,4
Oracle,2,3
Qualcomm,5,2
Samsung,2,
Amazon,1,5
Apple,3,1
Cisco,3,3
Facebook,1,5
Google,1,5
Huawei,5,1
IBM,5,3
Intel,5,1
Microsoft,3,3
Oracle,,3
Qualcomm,5,1
Samsung,3,1
Amazon,2,2
Apple,1,3
Cisco,1,4
Facebook,1,2
Google,1,4
Huawei,4,1
IBM,4,4
Intel,4,1
Microsoft,3,4
Oracle,4,2
Qualcomm,5,1
Samsung,4,1
